City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Qaanaaq,GL,2022-07-29 22:24:06,77.484,-69.3632,41.99,57,1,0.4
1,Nikolskoye,RU,2022-07-29 22:24:07,59.7035,30.7861,60.8,91,99,8.41
2,Neuquen,AR,2022-07-29 22:24:08,-38.9516,-68.0591,57.09,38,0,6.91
3,Abu Kamal,SY,2022-07-29 22:24:08,34.4506,40.9171,92.64,12,0,3.42
4,Manta,EC,2022-07-29 22:24:09,-0.95,-80.7333,73.18,83,100,11.5
5,Kahului,US,2022-07-29 22:23:47,20.8947,-156.47,89.62,48,20,16.11
6,Bluff,NZ,2022-07-29 22:24:09,-46.6,168.3333,39.79,82,95,6.02
7,Busselton,AU,2022-07-29 22:24:10,-33.65,115.3333,51.24,65,98,22.64
8,Tuktoyaktuk,CA,2022-07-29 22:24:12,69.4541,-133.0374,39.2,87,100,12.66
9,Port Alfred,ZA,2022-07-29 22:24:13,-33.5906,26.891,59.14,79,15,12.41
10,Lebu,CL,2022-07-29 22:24:14,-37.6167,-73.65,48.6,83,16,19.91
11,Lingao,CN,2022-07-29 22:24:15,19.9103,109.6859,80.49,82,100,2.39
12,Grindavik,IS,2022-07-29 22:24:17,63.8424,-22.4338,49.95,76,75,16.11
13,Colares,PT,2022-07-29 22:24:18,38.7992,-9.4469,70.75,76,27,30.0
14,Castro,BR,2022-07-29 22:24:19,-24.7911,-50.0119,48.7,57,0,4.41
15,Rikitea,PF,2022-07-29 22:24:20,-23.1203,-134.9692,73.22,72,9,18.7
16,Punta Arenas,CL,2022-07-29 22:24:20,-53.15,-70.9167,39.31,81,40,35.68
17,Barrow,US,2022-07-29 22:22:01,71.2906,-156.7887,37.42,87,100,5.75
18,Porgera,PG,2022-07-29 22:24:21,-5.4667,143.2,45.03,96,99,1.01
19,Sakakah,SA,2022-07-29 22:24:21,29.9697,40.2064,94.57,12,20,6.64
20,Jamestown,US,2022-07-29 22:21:59,42.097,-79.2353,76.05,38,0,10.36
21,Dillon,US,2022-07-29 22:24:22,34.4166,-79.3712,96.78,42,73,15.5
22,Victoria,HK,2022-07-29 22:19:45,22.2855,114.1577,88.32,86,88,3.0
23,Shaowu,CN,2022-07-29 22:24:24,27.3409,117.4831,74.03,93,5,0.83
24,Tuatapere,NZ,2022-07-29 22:24:25,-46.1333,167.6833,38.23,96,93,5.06
25,Arraial Do Cabo,BR,2022-07-29 22:19:37,-22.9661,-42.0278,66.06,88,100,13.8
26,Tiksi,RU,2022-07-29 22:24:25,71.6872,128.8694,45.64,87,100,5.77
27,Katsuura,JP,2022-07-29 22:24:26,35.1333,140.3,81.46,85,4,12.03
28,Port Elizabeth,ZA,2022-07-29 22:24:04,-33.918,25.5701,55.69,90,20,19.57
29,Wuwei,CN,2022-07-29 22:24:27,37.9281,102.6414,72.73,37,21,4.65
30,Jorhat,IN,2022-07-29 22:24:28,26.75,94.2167,76.42,95,97,4.79
31,Ushuaia,AR,2022-07-29 22:22:08,-54.8,-68.3,38.86,56,100,23.02
32,Khatanga,RU,2022-07-29 22:24:30,71.9667,102.5,63.12,63,47,11.18
33,Atuona,PF,2022-07-29 22:24:30,-9.8,-139.0333,76.89,73,17,21.63
34,Pacifica,US,2022-07-29 22:21:50,37.6138,-122.4869,82.44,88,40,18.41
35,Samarai,PG,2022-07-29 22:24:32,-10.6167,150.6667,79.16,82,98,6.44
36,Hasaki,JP,2022-07-29 22:24:33,35.7333,140.8333,82.8,86,2,5.66
37,Choya,RU,2022-07-29 22:24:33,52.0108,86.5467,57.49,91,97,3.53
38,Umba,RU,2022-07-29 22:24:34,66.6871,34.3429,49.08,84,100,18.01
39,Rodez,FR,2022-07-29 22:24:34,44.5,2.5833,67.68,72,40,8.05
40,Antequera,ES,2022-07-29 22:24:35,37.0194,-4.5612,76.44,43,1,4.74
41,Itarema,BR,2022-07-29 22:24:36,-2.9248,-39.9167,79.2,77,19,15.86
42,Fort-Shevchenko,KZ,2022-07-29 22:24:37,44.5086,50.263,77.7,74,0,7.07
43,East London,ZA,2022-07-29 22:24:04,-33.0153,27.9116,62.2,63,3,6.53
44,Ballina,AU,2022-07-29 22:24:38,-28.8667,153.5667,50.77,76,33,11.59
45,Sovetskiy,RU,2022-07-29 22:24:39,61.3614,63.5842,61.29,62,94,1.07
46,Pemangkat,ID,2022-07-29 22:24:41,1.1667,108.9667,79.47,84,100,4.38
47,Bredasdorp,ZA,2022-07-29 22:24:41,-34.5322,20.0403,51.4,67,96,6.29
48,Albany,US,2022-07-29 22:24:36,42.6001,-73.9662,85.59,48,0,8.3
49,Hambantota,LK,2022-07-29 22:25:42,6.1241,81.1185,78.89,85,100,10.42
50,Inuvik,CA,2022-07-29 22:25:43,68.3499,-133.7218,45.46,93,100,8.05
51,Srandakan,ID,2022-07-29 22:25:43,-7.9386,110.2506,74.19,91,85,6.71
52,Mataura,NZ,2022-07-29 22:25:44,-46.1927,168.8643,39.47,93,84,0.87
53,Megion,RU,2022-07-29 22:25:44,61.0296,76.1136,60.82,77,91,7.67
54,Yumen,CN,2022-07-29 22:25:46,40.2833,97.2,76.24,25,100,6.22
55,Hilo,US,2022-07-29 22:25:11,19.7297,-155.09,88.29,82,100,11.5
56,Quang Ngai,VN,2022-07-29 22:25:46,15.1167,108.8,77.18,87,98,3.8
57,Castelldefels,ES,2022-07-29 22:25:47,41.2779,1.9703,79.12,85,20,4.61
58,Kapaa,US,2022-07-29 22:25:47,22.0752,-159.319,83.48,64,20,11.5
59,Hermanus,ZA,2022-07-29 22:25:47,-34.4187,19.2345,48.79,68,100,11.68
60,Saskylakh,RU,2022-07-29 22:25:48,71.9167,114.0833,63.61,67,75,3.31
61,Udachnyy,RU,2022-07-29 22:25:48,66.4167,112.4,76.5,49,70,3.15
62,Bambous Virieux,MU,2022-07-29 22:25:49,-20.3428,57.7575,68.25,88,40,17.27
63,Kasangulu,CD,2022-07-29 22:25:49,-4.5911,15.1708,73.89,55,2,4.21
64,Asau,RO,2022-07-29 22:23:51,46.4333,26.4,65.32,90,95,3.24
65,Ishigaki,JP,2022-07-29 22:25:50,24.3448,124.1572,82.53,94,40,4.61
66,Idah,NG,2022-07-29 22:25:50,7.1065,6.7342,72.75,95,81,3.31
67,Karasjok,NO,2022-07-29 22:25:51,69.4719,25.5112,46.4,81,29,4.0
68,Dunedin,NZ,2022-07-29 22:25:52,-45.8742,170.5036,42.8,74,89,3.67
69,Latehar,IN,2022-07-29 22:25:52,23.75,84.5,78.28,80,95,2.44
70,Provideniya,RU,2022-07-29 22:25:53,64.3833,-173.3,52.92,62,100,3.62
71,Sao Filipe,CV,2022-07-29 22:25:18,14.8961,-24.4956,77.34,79,80,9.62
72,Sharlyk,RU,2022-07-29 22:25:53,52.9167,54.75,60.58,83,63,3.44
73,Ketchikan,US,2022-07-29 22:25:01,55.3422,-131.6461,68.47,77,75,4.61
74,Sri Aman,MY,2022-07-29 22:25:54,1.2376,111.4621,75.25,100,99,2.3
75,Cape Town,ZA,2022-07-29 22:25:55,-33.9258,18.4232,52.12,88,20,4.61
76,Khandyga,RU,2022-07-29 22:25:56,62.6667,135.6,74.32,61,23,3.11
77,Bollnas,SE,2022-07-29 22:25:57,61.3482,16.3946,56.53,60,100,3.24
78,Cascavel,BR,2022-07-29 22:25:03,-24.9558,-53.4553,49.6,71,0,4.61
79,Georgetown,MY,2022-07-29 22:23:56,5.4112,100.3354,82.33,93,20,3.44
80,Luderitz,NA,2022-07-29 22:25:58,-26.6481,15.1594,54.75,76,0,7.47
81,Kavieng,PG,2022-07-29 22:25:58,-2.5744,150.7967,82.51,68,50,12.12
82,Geraldton,AU,2022-07-29 22:25:59,-28.7667,114.6,54.01,71,40,8.05
83,Marawi,PH,2022-07-29 22:25:59,7.9986,124.2928,69.46,92,100,4.79
84,Kurduvadi,IN,2022-07-29 22:26:00,18.0833,75.4333,79.5,77,99,3.22
85,Virginia Beach,US,2022-07-29 22:22:49,36.8529,-75.978,86.02,79,75,10.36
86,New Norfolk,AU,2022-07-29 22:26:00,-42.7826,147.0587,40.71,84,59,1.01
87,Tizapan El Alto,MX,2022-07-29 22:26:01,20.1667,-103.0667,77.05,66,58,3.27
88,Gariaband,IN,2022-07-29 22:26:02,20.635,82.0614,75.6,92,59,3.6
89,Vaini,TO,2022-07-29 22:26:02,-21.2,-175.2,78.96,89,40,13.8
90,Honningsvag,NO,2022-07-29 22:26:04,70.9821,25.9704,51.55,76,43,0.0
91,Butaritari,KI,2022-07-29 22:26:04,3.0707,172.7902,82.11,74,3,14.32
92,Chokurdakh,RU,2022-07-29 22:25:10,70.6333,147.9167,51.58,81,100,9.98
93,Victor Harbor,AU,2022-07-29 22:25:04,-35.5667,138.6167,50.68,57,98,12.46
94,Sioux Lookout,CA,2022-07-29 22:27:05,50.1001,-91.917,71.67,53,40,8.05
95,Lafia,NG,2022-07-29 22:27:06,8.4833,8.5167,71.64,91,27,3.04
96,Puerto Ayora,EC,2022-07-29 22:27:06,-0.7393,-90.3518,76.96,92,82,8.01
97,Tabuk,PH,2022-07-29 22:27:08,17.4189,121.4443,74.68,93,100,2.59
98,Upernavik,GL,2022-07-29 22:27:08,72.7868,-56.1549,42.78,89,100,7.47
99,Zhigansk,RU,2022-07-29 22:26:46,66.7697,123.3711,64.72,71,33,13.0
100,Mahebourg,MU,2022-07-29 22:25:26,-20.4081,57.7,68.29,88,40,17.27
101,Yarmouth,US,2022-07-29 22:27:11,41.7057,-70.2286,84.96,59,0,12.66
102,Ardakan,IR,2022-07-29 22:27:13,32.31,54.0175,81.54,60,93,5.97
103,Atherton,GB,2022-07-29 22:27:13,53.5237,-2.4935,66.29,73,100,3.4
104,Souillac,MU,2022-07-29 22:27:14,-20.5167,57.5167,68.38,88,40,17.27
105,Chiang Rai,TH,2022-07-29 22:27:16,19.9167,99.9167,75.18,99,20,0.0
106,Santander,ES,2022-07-29 22:25:38,43.4647,-3.8044,70.47,87,100,3.44
107,Shingu,JP,2022-07-29 22:27:17,33.7333,135.9833,79.12,85,100,3.74
108,Katangli,RU,2022-07-29 22:27:18,51.7102,143.2326,61.72,96,100,5.57
109,Luwuk,ID,2022-07-29 22:27:18,-0.9516,122.7875,75.29,94,99,3.94
110,Minudasht,IR,2022-07-29 22:27:20,37.2289,55.3747,74.75,91,75,3.4
111,Cidreira,BR,2022-07-29 22:27:20,-30.1811,-50.2056,54.57,72,94,14.94
112,Baleshwar,IN,2022-07-29 22:27:21,21.4942,86.9317,81.91,82,69,9.13
113,Longyearbyen,SJ,2022-07-29 22:27:23,78.2186,15.6401,48.04,81,75,2.3
114,Carnarvon,AU,2022-07-29 22:26:07,-24.8667,113.6333,64.22,78,99,18.95
115,Half Moon Bay,US,2022-07-29 22:27:24,37.4636,-122.4286,80.87,72,100,18.41
116,Mednogorskiy,RU,2022-07-29 22:27:25,43.9178,41.1825,61.02,85,0,4.79
117,Chuy,UY,2022-07-29 22:27:26,-33.6971,-53.4616,47.19,87,0,5.64
118,Ribeira Grande,PT,2022-07-29 22:27:26,38.5167,-28.7,74.12,70,13,1.83
119,Ormara,PK,2022-07-29 22:27:27,25.2088,64.6357,81.79,80,100,16.28
120,Avarua,CK,2022-07-29 22:27:28,-21.2078,-159.775,77.05,78,75,12.66
121,Tasiilaq,GL,2022-07-29 22:27:28,65.6145,-37.6368,42.96,77,70,3.44
122,Nioro,GM,2022-07-29 22:27:29,13.35,-15.75,77.11,87,78,8.72
123,Ponta Do Sol,PT,2022-07-29 22:27:29,32.6667,-17.1,75.0,82,1,4.32
124,Hay River,CA,2022-07-29 22:27:30,60.8156,-115.7999,62.58,59,75,5.75
125,Ilulissat,GL,2022-07-29 22:27:28,69.2167,-51.1,50.02,66,75,4.61
126,Sakaiminato,JP,2022-07-29 22:27:33,35.55,133.2333,84.18,70,75,8.05
127,Pacific Grove,US,2022-07-29 22:23:28,36.6177,-121.9166,77.54,76,40,10.36
128,Balkanabat,TM,2022-07-29 22:27:34,39.5108,54.3671,85.1,41,36,7.29
129,Kalmunai,LK,2022-07-29 22:27:36,7.4167,81.8167,78.73,81,100,7.81
130,La Palma,US,2022-07-29 22:27:36,33.8464,-118.0467,100.65,60,40,11.5
131,Yellowknife,CA,2022-07-29 22:27:36,62.456,-114.3525,70.32,37,75,9.22
132,Nanortalik,GL,2022-07-29 22:27:37,60.1432,-45.2371,46.4,84,98,11.81
133,Maxixe,MZ,2022-07-29 22:27:37,-23.8597,35.3472,64.47,83,2,2.86
134,Seaford,GB,2022-07-29 22:27:39,50.7714,0.1027,65.08,80,40,5.21
135,Barra,BR,2022-07-29 22:27:40,-11.0894,-43.1417,77.97,38,26,3.49
136,Yaring,TH,2022-07-29 22:27:41,6.8662,101.3689,77.72,89,69,6.15
137,Meulaboh,ID,2022-07-29 22:27:41,4.1363,96.1285,75.87,85,100,2.39
138,Beringovskiy,RU,2022-07-29 22:27:42,63.05,179.3167,49.08,78,91,4.16
139,Lima,PE,2022-07-29 22:27:26,-12.0432,-77.0282,61.9,78,75,5.75
140,Bubaque,GW,2022-07-29 22:26:26,11.2833,-15.8333,79.23,79,92,17.25
141,Vestmannaeyjar,IS,2022-07-29 22:28:44,63.4427,-20.2734,51.91,76,100,17.78
142,Kaitangata,NZ,2022-07-29 22:28:46,-46.2817,169.8464,38.62,78,69,4.07
143,Nizhnevartovsk,RU,2022-07-29 22:28:46,60.9344,76.5531,60.82,100,0,7.0
144,Kruisfontein,ZA,2022-07-29 22:28:46,-34.0033,24.7314,54.18,77,99,16.42
145,Ostrovnoy,RU,2022-07-29 22:28:48,68.0531,39.5131,46.47,97,100,23.04
146,Krasnoselkup,RU,2022-07-29 22:29:09,65.7,82.4667,61.34,85,97,9.89
147,Gushikawa,JP,2022-07-29 22:29:10,26.3544,127.8686,83.43,93,20,4.61
148,Isangel,VU,2022-07-29 22:25:56,-19.55,169.2667,78.91,83,100,6.91
149,Clyde River,CA,2022-07-29 22:27:12,70.4692,-68.5914,41.23,100,100,12.66
150,Road Town,VG,2022-07-29 22:29:11,18.4167,-64.6167,84.29,78,40,8.05
151,Baculin,PH,2022-07-29 22:29:12,7.4525,126.5842,78.22,84,99,7.36
152,Ornskoldsvik,SE,2022-07-29 22:29:13,63.2909,18.7153,54.55,100,100,2.3
153,Los Llanos De Aridane,ES,2022-07-29 22:29:13,28.6585,-17.9182,70.12,79,100,18.41
154,Gilbues,BR,2022-07-29 22:29:14,-9.8317,-45.3439,79.0,30,8,1.3
155,Mount Gambier,AU,2022-07-29 22:29:15,-37.8333,140.7667,41.31,72,3,11.07
156,Vostok,RU,2022-07-29 22:28:37,46.4856,135.8833,72.0,83,38,4.59
157,Richards Bay,ZA,2022-07-29 22:29:16,-28.783,32.0377,67.78,62,3,14.7
158,Sobolevo,RU,2022-07-29 22:29:17,54.4299,31.8996,52.59,85,28,4.76
159,Hofn,IS,2022-07-29 22:29:17,64.2539,-15.2082,47.75,77,100,23.29
160,Westport,US,2022-07-29 22:28:56,41.1415,-73.3579,85.28,67,20,11.5
161,Teknaf,BD,2022-07-29 22:29:18,20.8624,92.3058,80.96,85,92,2.77
162,Umea,SE,2022-07-29 22:29:19,63.8284,20.2597,52.92,100,85,2.3
163,Broken Hill,AU,2022-07-29 22:29:21,-31.95,141.4333,43.38,72,73,9.98
164,Saint-Augustin,CA,2022-07-29 22:24:24,51.226,-58.6502,59.36,88,99,9.73
165,Tazovskiy,RU,2022-07-29 22:29:21,67.4667,78.7,54.93,82,44,7.7
166,Constitucion,CL,2022-07-29 22:28:16,-35.3333,-72.4167,52.5,76,82,8.3
167,Leningradskiy,RU,2022-07-29 22:29:22,69.3833,178.4167,45.07,74,100,3.94
168,Quatre Cocos,MU,2022-07-29 22:29:23,-20.2078,57.7625,68.11,74,84,17.78
169,Hithadhoo,MV,2022-07-29 22:29:24,-0.6,73.0833,78.22,88,100,20.58
170,Parabel,RU,2022-07-29 22:29:24,58.6978,81.4825,55.45,87,56,6.4
171,Sambava,MG,2022-07-29 22:25:03,-14.2667,50.1667,68.95,89,90,9.82
172,San Quintin,MX,2022-07-29 22:29:25,30.4833,-115.95,73.31,67,97,11.34
173,Esso,RU,2022-07-29 22:29:26,55.9333,158.7,49.06,87,100,2.24
174,Buala,SB,2022-07-29 22:29:26,-8.145,159.5921,82.8,66,85,6.55
175,Najran,SA,2022-07-29 22:26:06,17.4924,44.1277,88.45,46,91,7.52
176,Pisco,PE,2022-07-29 22:24:57,-13.7,-76.2167,62.65,77,100,4.61
177,Te Anau,NZ,2022-07-29 22:29:27,-45.4167,167.7167,37.74,89,98,1.01
178,Tambopata,PE,2022-07-29 22:29:28,-12.7333,-69.1833,79.72,57,15,3.02
179,Plettenberg Bay,ZA,2022-07-29 22:27:11,-34.0527,23.3716,54.81,82,100,10.2
180,Bemidji,US,2022-07-29 22:29:29,47.4736,-94.8803,79.05,50,0,0.0
181,Lompoc,US,2022-07-29 22:29:29,34.6391,-120.4579,77.85,70,0,14.97
182,Torbay,CA,2022-07-29 22:29:30,47.6666,-52.7314,59.76,86,100,9.22
183,Port Hardy,CA,2022-07-29 22:29:32,50.6996,-127.4199,68.18,73,0,8.05
184,Maltahohe,NA,2022-07-29 22:30:32,-24.8333,16.9833,47.07,31,77,6.91
185,Kodiak,US,2022-07-29 22:30:33,57.79,-152.4072,54.91,94,100,10.36
186,Hobart,AU,2022-07-29 22:30:03,-42.8794,147.3294,41.05,86,20,6.91
187,Amarante Do Maranhao,BR,2022-07-29 22:30:33,-5.5667,-46.7422,79.41,50,45,3.62
188,Severo-Kurilsk,RU,2022-07-29 22:30:34,50.6789,156.125,55.13,84,97,11.79
189,Tual,ID,2022-07-29 22:30:34,-5.6667,132.75,79.03,87,92,18.88
190,Nelson Bay,AU,2022-07-29 22:26:24,-32.7167,152.15,52.0,87,97,10.0
191,Qixingtai,CN,2022-07-29 22:30:35,30.4135,111.8874,75.61,88,0,3.98
192,Biryusinsk,RU,2022-07-29 22:30:35,55.9634,97.8235,61.21,97,100,10.71
193,Lorengau,PG,2022-07-29 22:30:36,-2.0226,147.2712,84.36,67,80,11.72
194,Seoni,IN,2022-07-29 22:30:36,22.0833,79.5333,73.49,91,95,4.41
195,Bay City,US,2022-07-29 22:28:22,43.5945,-83.8889,79.12,49,40,16.11
196,Cervo,ES,2022-07-29 22:30:37,43.6702,-7.4101,67.96,90,35,6.78
197,Omsukchan,RU,2022-07-29 22:30:38,62.5333,155.8,56.32,43,57,2.24
198,Whitehorse,CA,2022-07-29 22:30:38,60.7161,-135.0538,70.02,41,75,4.61
199,Ngunguru,NZ,2022-07-29 22:30:40,-35.6167,174.5,59.81,68,25,11.68
200,Manicore,BR,2022-07-29 22:30:40,-5.8092,-61.3003,85.95,58,0,1.14
201,Narsaq,GL,2022-07-29 22:26:05,60.9167,-46.05,61.02,71,87,4.23
202,Dikson,RU,2022-07-29 22:30:41,73.5069,80.5464,40.44,96,100,17.74
203,Helsingborg,SE,2022-07-29 22:30:41,56.0467,12.6944,60.66,87,89,9.73
204,Kuytun,RU,2022-07-29 22:30:42,54.3419,101.5036,58.19,94,100,4.99
205,Pangai,TO,2022-07-29 22:30:42,-19.8,-174.35,80.71,83,40,18.41
206,Talcahuano,CL,2022-07-29 22:30:43,-36.7167,-73.1167,55.08,76,0,9.22
207,Cabo San Lucas,MX,2022-07-29 22:27:25,22.8909,-109.9124,94.3,40,20,14.97
208,Deputatskiy,RU,2022-07-29 22:30:44,69.3,139.9,56.19,77,100,2.62
209,Taybad,IR,2022-07-29 22:30:44,34.74,60.7756,82.74,30,96,23.29
210,Vao,NC,2022-07-29 22:30:45,-22.6667,167.4833,70.92,83,100,13.13
211,San Juan,AR,2022-07-29 22:28:51,-31.5375,-68.5364,63.68,19,100,4.41
212,Lufilufi,WS,2022-07-29 22:30:45,-13.8745,-171.5986,83.98,79,25,20.56
213,Sayyan,YE,2022-07-29 22:30:46,15.1718,44.3244,63.43,65,54,4.29
214,Portland,US,2022-07-29 22:30:25,45.5234,-122.6762,102.49,41,20,8.05
215,Mar Del Plata,AR,2022-07-29 22:30:03,-38.0023,-57.5575,57.22,81,0,5.99
216,Alofi,NU,2022-07-29 22:30:48,-19.0595,-169.9187,82.29,74,28,11.5
217,Sola,VU,2022-07-29 22:30:51,-13.8833,167.55,78.91,80,96,15.14
218,Keuruu,FI,2022-07-29 22:30:52,62.2667,24.7,57.38,92,100,6.6
219,Puerto Escondido,MX,2022-07-29 22:30:53,15.85,-97.0667,83.23,65,100,5.75
220,Aquiraz,BR,2022-07-29 22:27:44,-3.9014,-38.3911,80.69,85,43,9.71
221,Port Macquarie,AU,2022-07-29 22:30:24,-31.4333,152.9167,48.88,67,80,9.15
222,Lerwick,GB,2022-07-29 22:30:54,60.1545,-1.1494,57.2,89,36,25.32
223,Hamilton,US,2022-07-29 22:28:35,39.1834,-84.5333,82.65,50,40,14.97
224,Sankeshwar,IN,2022-07-29 22:30:56,16.2667,74.4833,75.22,83,100,4.36
225,Vestmanna,FO,2022-07-29 22:30:56,62.1564,-7.1664,52.72,100,100,20.71
226,Labuhan,ID,2022-07-29 22:30:57,-6.8844,112.2051,74.12,91,66,6.46
227,Batemans Bay,AU,2022-07-29 22:30:05,-35.7167,150.1833,43.11,54,4,4.14
228,Manacor,ES,2022-07-29 22:31:57,39.5696,3.2096,81.34,76,0,4.45
229,Nador,MA,2022-07-29 22:31:58,35.174,-2.9287,80.85,78,0,4.61
230,North Bend,US,2022-07-29 22:30:55,43.4065,-124.2243,84.24,84,20,18.41
231,Trofors,NO,2022-07-29 22:31:59,65.5333,13.4063,54.32,68,23,3.85
232,Smithers,CA,2022-07-29 22:30:14,54.7804,-127.1743,84.52,32,20,3.44
233,Jaca,ES,2022-07-29 22:32:00,42.569,-0.5499,67.98,88,3,4.41
234,Xichang,CN,2022-07-29 22:32:02,27.8964,102.2634,64.81,92,87,1.41
235,Cabra,ES,2022-07-29 22:32:02,37.4725,-4.4421,81.3,33,1,4.65
236,At-Bashi,KG,2022-07-29 22:32:02,41.1702,75.8106,56.68,58,99,1.07
237,Mogadishu,SO,2022-07-29 22:27:48,2.0371,45.3438,75.96,80,67,17.78
238,Oka,CA,2022-07-29 22:32:03,45.4649,-74.0889,78.75,53,63,10.36
239,Bilibino,RU,2022-07-29 22:32:03,68.0546,166.4372,56.07,50,21,5.57
240,Saldanha,ZA,2022-07-29 22:32:04,-33.0117,17.9442,48.25,65,80,3.0
241,Guantanamo,CU,2022-07-29 22:32:05,20.1444,-75.2092,87.37,69,64,6.85
242,San Luis,AR,2022-07-29 22:32:05,-33.295,-66.3356,55.98,22,100,4.85
243,West Bay,KY,2022-07-29 22:32:05,19.3667,-81.4167,88.07,76,40,13.8
244,Tanda,IN,2022-07-29 22:32:06,26.55,82.65,85.39,71,99,3.49
245,Tres Arroyos,AR,2022-07-29 22:32:06,-38.3739,-60.2798,49.32,62,0,4.03
246,Altoona,US,2022-07-29 22:32:07,40.5187,-78.3947,80.22,61,77,1.01
247,Atambua,ID,2022-07-29 22:27:43,-9.1061,124.8925,68.11,86,64,4.99
248,Suntar,RU,2022-07-29 22:32:09,62.1444,117.6319,66.63,89,17,5.86
249,Komsomolskiy,UZ,2022-07-29 22:32:10,40.4272,71.7189,79.52,25,5,4.61
250,Klaksvik,FO,2022-07-29 22:32:10,62.2266,-6.589,54.52,97,100,31.92
251,Palmares,BR,2022-07-29 22:31:26,-8.6833,-35.5917,70.65,97,85,1.99
252,Benito Juarez,MX,2022-07-29 22:32:11,19.385,-99.165,62.94,87,100,9.22
253,Mendi,PG,2022-07-29 22:32:12,-6.1761,143.6513,61.47,86,91,0.58
254,Verkhnyaya Toyma,RU,2022-07-29 22:32:12,62.2349,44.9985,62.83,86,82,5.97
255,Ahipara,NZ,2022-07-29 22:32:13,-35.1667,173.1667,59.92,69,18,11.56
256,Codrington,AU,2022-07-29 22:32:13,-38.2667,141.9667,43.38,71,1,14.67
257,Inverell,AU,2022-07-29 22:32:14,-29.7833,151.1167,44.67,67,6,4.0
258,Ambulu,ID,2022-07-29 22:32:16,-8.345,113.6058,74.53,86,98,4.41
259,Olafsvik,IS,2022-07-29 22:32:17,64.8945,-23.7142,49.66,69,16,12.93
260,Grafton,US,2022-07-29 22:32:18,42.207,-71.6856,88.09,48,20,14.97
261,Storforshei,NO,2022-07-29 22:32:18,66.4043,14.5233,52.66,93,41,3.44
262,Cockburn Town,TC,2022-07-29 22:32:19,21.4612,-71.1419,84.16,65,40,17.27
263,Dingle,PH,2022-07-29 22:32:20,10.9995,122.6711,79.07,88,86,7.61
264,Guerrero Negro,MX,2022-07-29 22:32:21,27.9769,-114.0611,77.36,58,88,14.16
265,Pravda,RU,2022-07-29 22:32:22,46.9396,142.009,72.23,77,100,13.73
266,Sangmelima,CM,2022-07-29 22:32:22,2.9333,11.9833,66.74,99,74,3.06
267,Mahina,PF,2022-07-29 22:32:22,-17.5065,-149.489,80.37,61,75,13.8
268,Mayo,US,2022-07-29 22:32:24,38.8876,-76.5119,84.49,84,75,5.75
269,Talnakh,RU,2022-07-29 22:32:24,69.4865,88.3972,61.21,73,5,5.06
270,Harrisonburg,US,2022-07-29 22:32:24,38.4496,-78.8689,81.01,85,0,3.44
271,Morondava,MG,2022-07-29 22:32:26,-20.2833,44.2833,72.09,68,79,1.52
272,Normandin,CA,2022-07-29 22:32:26,48.8333,-72.5321,68.13,73,94,9.22
273,Auki,SB,2022-07-29 22:32:27,-8.7676,160.7034,84.22,60,41,2.68
274,Port Blair,IN,2022-07-29 22:33:28,11.6667,92.75,80.64,89,40,4.61
275,Airai,TL,2022-07-29 22:33:29,-8.9266,125.4092,57.58,74,37,2.66
276,Caravelas,BR,2022-07-29 22:33:30,-17.7125,-39.2481,73.33,80,47,12.03
277,Naze,JP,2022-07-29 22:33:31,28.3667,129.4833,79.72,83,75,17.67
